name,target_rva,target_size,source,notes
?Invalidate_Cached_Render_States@DX8Wrapper@@SAXXZ,0x0011FD10,226,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper.cpp,reloc-derived;call-sites=1;identity=real
?BFME_DX8_Thread_Assert@@YAXXZ,0x00120F50,90,Code/Libraries/Source/WWVegas/WW3D2/DynamicIBAccessWriteLock.cpp,reloc-derived;call-sites=9;identity=real
?Get_Render_Target_Resolution@WW3D@@SAXAAH00AA_N@Z,0x00121860,195,Code/Libraries/Source/WWVegas/WW3D2/camera.cpp,reloc-derived;call-sites=2;identity=real
?Do_Onetime_Device_Dependent_Inits@DX8Wrapper@@SAXXZ,0x001245A0,283,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper.cpp,reloc-derived;call-sites=1;identity=real
?Get_Texture_Name@BFME2ParticleTextureHandle@@QBE?AVStringClass@@XZ,0x00129D30,176,Code/Libraries/Source/WWVegas/WW3D2/particle_emitter_build_definition.cpp,reloc-derived;call-sites=1;identity=real
?Record_Texture_End@@YAXXZ,0x00129E50,948,Code/Libraries/Source/WWVegas/WW3D2/DebugStatisticsEnd.cpp,reloc-derived;call-sites=1;identity=real
?Check_Depth_Stencil_Support@DX8Caps@@AAEXW4WW3DFormat@@ABU_D3DCAPS8@@@Z,0x0012B3A0,122,Code/Libraries/Source/WWVegas/WW3D2/dx8caps.cpp,reloc-derived;call-sites=1;identity=real
?Check_Texture_Compression_Support@DX8Caps@@AAEXABU_D3DCAPS8@@@Z,0x0012B4E0,98,Code/Libraries/Source/WWVegas/WW3D2/dx8caps.cpp,reloc-derived;call-sites=1;identity=real
?Vendor_Specific_Hacks@DX8Caps@@AAEXABU_D3DADAPTER_IDENTIFIER8@@@Z,0x0012B9B0,1065,Code/Libraries/Source/WWVegas/WW3D2/dx8caps.cpp,reloc-derived;call-sites=1;identity=real
??1SortingNodeStruct@@QAE@XZ,0x0012FCA0,213,Code/Libraries/Source/WWVegas/WW3D2/sortingrenderer.cpp,reloc-derived;call-sites=3;identity=real
?Insert_Triangles@SortingRendererClass@@SAXABVSphereClass@@IIII@Z,0x0012FE00,1520,Code/Libraries/Source/WWVegas/WW3D2/bfme2_polygon_render_sorted.cpp,reloc-derived;call-sites=1;identity=real
?Apply@BfmeApplyTextureRef@@QAEXI@Z,0x00132AF8,139,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper.cpp,reloc-derived;call-sites=1;identity=real
?BFME2LoadParticleTexture@@YA?AVBFME2ParticleTextureHandle@@PBDHH@Z,0x00132D89,237,Code/Libraries/Source/WWVegas/WW3D2/particle_emitter_convert_version.cpp,reloc-derived;call-sites=2;identity=real
?bfmeReleaseQueuedDeviceInterfaces@@YAXXZ,0x00133283,151,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper.cpp,reloc-derived;call-sites=1;identity=real
?Create_Render_Obj@@YAPAVRenderObjClass@@PBD@Z,0x00136175,199,Code/Libraries/Source/WWVegas/WW3D2/BfmeHelper71BA0.cpp,reloc-derived;call-sites=1;identity=real
??0RenderObjClass@@QAE@XZ,0x0013BF00,262,Code/Libraries/Source/WWVegas/WW3D2/BoxRenderObjClassDefaultCtor.cpp,reloc-derived;call-sites=14;identity=real
??0VertexMaterialClass@@QAE@XZ,0x0013D420,296,Code/Libraries/Source/WWVegas/WW3D2/VertexMaterialClass_Init_Thunk.cpp,reloc-derived;call-sites=2;identity=real
?Apply@VertexMaterialClass@@ABEXXZ,0x0013D570,1084,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper.cpp,reloc-derived;call-sites=1;identity=real
??1BfmeNonRefSceneList@@UAE@XZ,0x00141780,96,Code/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_dtor.cpp,reloc-derived;call-sites=2;identity=real
