target_rva,target_size,zh_source,alternates,confidence,ghidra_name,anchor
0x002C2533,263,GUIEdit.cpp,4,medium,FUN_006c2533,Times New Roman
0x003174CB,262,GameWindowManagerScript.cpp,1,medium,FUN_007174cb,PROGRESSBAR
0x00249445,233,LANAPICallbacks.cpp,1,medium,FUN_00649445,Menus/LanGameOptionsMenu.wnd
0x0035E01E,217,GameWindowTransitionsStyles.cpp,1,medium,FUN_0075e01e,MainMenu.wnd:WinGrowMarker
0x0030D526,196,MapUtil.cpp,3,medium,FUN_0070d526,ObjectsList
0x00290EFE,189,MemoryInit.cpp,3,medium,FUN_00690efe,W3DDefaultDraw
0x000902A6,186,GlobalLanguage.cpp,1,medium,FUN_004902a6,Arial Unicode MS
0x003B428C,183,ModelState.h,2,medium,FUN_007b428c,Condition
0x003B6975,166,Scripts.cpp,1,medium,FUN_007b6975,ScriptGroup
0x006C4CD0,124,Except.cpp,1,medium,FUN_00ac4cd0,SymFunctionTableAccess
0x003FFBB4,116,GUIUtil.cpp,6,medium,FUN_007ffbb4,GUI:Observer
0x004E8DE7,112,KindOf.cpp,1,medium,FUN_008e8de7,invalid AI_KINDOF 
0x00437B4D,105,Player.cpp,1,medium,FUN_00837b4d,Civilian
0x002E4928,103,FirewallHelper.cpp,1,medium,FUN_006e4928,FirewallNeedToRefresh
0x003BC3A8,101,GameLogic.cpp,1,medium,FUN_007bc3a8,ReplayObserver
0x002E4815,95,FirewallHelper.cpp,3,medium,FUN_006e4815,FirewallBehavior
0x002E4874,90,FirewallHelper.cpp,2,medium,FUN_006e4874,FirewallPortAllocationDelta
0x002E48CE,90,GlobalData.cpp,1,medium,FUN_006e48ce,FirewallPortOverride
0x003B73F6,82,GameLogic.cpp,3,medium,FUN_007b73f6,PlayerScriptsList
0x0024822B,77,GameLogic.cpp,3,medium,FUN_0064822b,Player_%d_Start
0x004B488F,68,MemoryInit.cpp,2,medium,FUN_008b488f,RadarUpdate
0x003B4A3C,60,Scripts.cpp,1,medium,FUN_007b4a3c,OrCondition
0x0028C819,54,GameWindowManagerScript.cpp,3,medium,FUN_0068c819,CAN_ATTACK
0x0037BA62,53,PopupReplay.cpp,2,medium,FUN_0077ba62,GUI:LastReplay
0x0060259A,52,File.cpp,1,medium,FUN_00a0259a,<no file>
0x002ABEC9,40,Drawable.cpp,3,medium,FUN_006abec9,Available
