rva,size,name
0x554C,28,operator==
0x5568,51,operator==
0x559B,21,operator!=
0x55B0,30,FUN_004055b0
0x55CE,39,operator[]
0x55F5,37,set
0x561A,15,set
0x5629,37,concat
0x564E,15,concat
0x565D,38,set
0x5683,15,set
0x5692,38,concat
0x56B8,15,concat
0x56C7,10,FUN_004056c7
0x56D1,103,Init
0x575A,39,FUN_0040575a
0x57F1,23,FUN_004057f1
0x5808,14,getLength
0x5816,43,FUN_00405816
0x5841,44,FUN_00405841
0x586D,43,FUN_0040586d
0x5898,43,FUN_00405898
0x58C3,96,AtlWinModuleTerm
0x5923,124,toAngle
0x599F,32,GetLength2D
0x59BF,20,GetLengthSqrd2D
0x59D3,83,Normalize
0x5A26,43,GetLength
0x5A51,31,GetLengthSqrd
0x5A70,66,Normalize
0x5AB2,53,Normalize2D
0x5AE7,102,Matrix4D
0x5B4D,107,Matrix4D
0x5BB8,116,Matrix4D
0x5C2C,168,Matrix4D
0x5CD4,1497,Inverse
0x62AD,43,combine
0x62D8,37,combine
0x62FD,294,lineSegmentIntersects
0x6423,70,expandBy
0x6469,44,expandBy
0x6495,103,expandBy
0x64FC,60,expandBy
0x6538,18,RGBColor
0x654A,18,AsciiString
0x655C,22,AsciiString
0x6572,18,AsciiString
0x6584,26,AsciiString
0x659E,26,AsciiString
0x65B8,18,operator=
0x65CA,30,operator=
0x65E8,18,operator+=
0x65FA,30,operator+=
0x6618,18,UnicodeString
0x662A,18,UnicodeString
0x663C,22,UnicodeString
0x6652,18,UnicodeString
0x6664,26,UnicodeString
0x667E,18,operator=
0x6690,30,operator=
0x66AE,18,operator+=
0x66C0,30,operator+=
0x66DE,13,FUN_004066de
0x66F0,32,CW2AEX<>
0x6733,63,compare
0x6772,63,compareNoCase
0x67B1,63,compare
0x67F0,63,compareNoCase
0x683C,26,_ATL_WIN_MODULE70
0x685E,10,FUN_0040685e
0x6960,34,FUN_00406960
0x6987,42,concat
0x69B1,37,compare
0x69D6,42,compare
0x6A00,42,compareNoCase
0x6A2A,42,concat
0x6A54,38,compare
0x6A7A,42,compare
0x6AA4,42,compareNoCase
0x6ACE,35,CAtlWinModule
0x6AF1,24,FUN_00406af1
0x6B09,10,FUN_00406b09
0x6CF0,34,FUN_00406cf0
0x6D12,18,operator+=
0x6D24,18,operator+=
