uData	0x67c020
Interface/Objectives/Mark mission objective as not completed	0x3d46db
MARK_MISSION_OBJECTIVE_NOT_COMPLETED	0x3d46db
 as completed.	0x3d46db
Mark mission objective 	0x3d46db
Interface/Objectives/Mark mission objective as completed	0x3d46db
MARK_MISSION_OBJECTIVE_COMPLETED	0x3d46db
Hide mission objective 	0x3d46db
Interface/Objectives/Hide mission objective	0x3d46db
HIDE_MISSION_OBJECTIVE	0x3d46db
 visible.	0x3d46db
Make mission objective 	0x3d46db
Interface/Objectives/Show mission objective	0x3d46db
SHOW_MISSION_OBJECTIVE	0x3d46db
Team/Experience/Team Gain Level.	0x3d46db
TEAM_GAIN_LEVEL	0x3d46db
 gains a level with FX turned 	0x3d46db
Unit_/Experience/Unit Gain Level.	0x3d46db
UNIT_GAIN_LEVEL	0x3d46db
Sell everything belonging to 	0x3d46db
Player_/Player sell everything he has.	0x3d46db
PLAYER_SELL_EVERYTHING	0x3d46db
Force all units of player 	0x3d46db
Player_/Force an emotion.	0x3d46db
PLAYER_FORCE_EMOTION	0x3d46db
Force team 	0x3d46db
Team_/Force an emotion.	0x3d46db
TEAM_FORCE_EMOTION	0x3d46db
 to have 	0x3d46db
Force unit 	0x3d46db
Unit_/Force an emotion.	0x3d46db
UNIT_FORCE_EMOTION	0x3d46db
Enable the house color for all units 	0x3d46db
Script/Enables or disables the house color for all units	0x3d46db
ENABLE_HOUSE_COLOR	0x3d46db
Enable the house color for 	0x3d46db
Team_/Enables or disables the house color	0x3d46db
TEAM_ENABLE_HOUSE_COLOR	0x3d46db
Enable house color for 	0x3d46db
Unit_/Enables or disables the house color.	0x3d46db
UNIT_ENABLE_HOUSE_COLOR	0x3d46db
Unit_/Assimilates unit with the first walk on army.	0x3d46db
UNIT_ASSIMILATE_WITH_FIRST_WALK_ON_ARMY	0x3d46db
 to be assimilated by the first walk on army.	0x3d46db
Team_/Assimilates team with the first walk on army.	0x3d46db
TEAM_ASSIMILATE_WITH_FIRST_WALK_ON_ARMY	0x3d46db
Set the camera angle&  height lock to 	0x3d46db
Camera_/Lock or unlock camera height and angle (allow scrolling).	0x3d46db
LOCK_CAMERA_ANGLE_AND_HEIGHT	0x3d46db
Set the camera reset lock to 	0x3d46db
Camera_/Lock or unlock camera reset.	0x3d46db
LOCK_CAMERA_RESET	0x3d46db
Set the camera scroll lock to 	0x3d46db
Camera_/Lock or unlock camera scroll.	0x3d46db
LOCK_CAMERA_SCROLL	0x3d46db
Set the camera rotation lock to 	0x3d46db
Camera_/Lock or unlock camera rotation.	0x3d46db
LOCK_CAMERA_ROTATION	0x3d46db
Set the camera zoom lock to 	0x3d46db
Camera_/Lock or unlock camera zoom.	0x3d46db
LOCK_CAMERA_ZOOM	0x3d46db
Set the camera lock to 	0x3d46db
Camera_/Lock or unlock camera.	0x3d46db
LOCK_CAMERA	0x3d46db
Flash the select button for 	0x3d46db
User_/Flash/Flash a hero select button for a specified amount of time.	0x3d46db
HERO_SELECT_BUTTON_FLASH	0x3d46db
Deselects everything 	0x3d46db
Player_/Select/ Deselects everything.	0x3d46db
DESELECT	0x3d46db
 select object 	0x3d46db
Player_/Select/ Select an object belonging to player.	0x3d46db
SELECT_OBJECT	0x3d46db
 maximum: 	0x3d46db
 to total: 	0x3d46db
Override command points for 	0x3d46db
Player_/Command/ Override player command points.	0x3d46db
OVERRIDE_PLAYER_COMMAND_POINTS	0x3d46db
Team_/Action/Move/Teleport to a waypoint.	0x3d46db
TEAM_TELEPORT_TO_WAYPOINT	0x3d46db
Teleport 	0x3d46db
Unit_/Action/Move/Teleport to a waypoint.	0x3d46db
UNIT_TELEPORT_TO_WAYPOINT	0x3d46db
Unit/Status/Team Set Stand Ground Status.	0x3d46db
TEAM_STAND_GROUND	0x3d46db
Set Stand Ground Status of 	0x3d46db
Unit/Status/Unit Set Stand Ground Status.	0x3d46db
UNIT_STAND_GROUND	0x3d46db
 open is 	0x3d46db
 wants gate 	0x3d46db
Team_/Misc/ Set or clear a team-needs-gate open flag 	0x3d46db
TEAM_NEEDS_OPEN_GATE	0x3d46db
Exits map back to the main menu.	0x3d46db
Map_/ Exit back to the main menu	0x3d46db
MAP_EXIT	0x3d46db
Sell anything on foundation named 	0x3d46db
Base/Sell building on foundation 	0x3d46db
SELL_BUILDING_ON_FOUNDATION	0x3d46db
Find unnamed 	0x3d46db
Scripting_/Reference/ Set reference to unnamed object owned by player 	0x3d46db
SET_REF_TO_NEREST_TEAM_OF_UNNAMED_TYPE_OWNED_BY_PLAYER	0x3d46db
 nearest team 	0x3d46db
 Owned by 	0x3d46db
Find 	0x3d46db
Scripting_/Reference/ Set reference to object owned by player 	0x3d46db
SET_REF_TO_NEREST_TEAM_OF_TYPE_OWNED_BY_PLAYER	0x3d46db
 and reference as 	0x3d46db
 nearest marker 	0x3d46db
 to object type 	0x3d46db
 give upgrade 	0x3d46db
For Base 	0x3d46db
Script/Upgrade/Upgrade Base with upgrade to the nearest upgradable wall.	0x3d46db
UPGRADE_NEAREST_WALL	0x3d46db
Give Unit 	0x3d46db
Unit_/Upgrade/Give Team upgrade.	0x3d46db
NAMED_RECEIVE_UPGRADE	0x3d46db
. (Default TRUE.)	0x3d46db
Set presence of Fog of War to 	0x3d46db
Map_/Shroud or Reveal/Toggle Fog of War.	0x3d46db
SET_LOGIC_FOG_STATE	0x3d46db
Unit_/AutoAbility/Named set auto abilty to on/off.	0x3d46db
NAME_SET_AUTO_ABILITY	0x3d46db
 set auto ability 	0x3d46db
Team_/AutoAbility/Team set auto ability to on/off.	0x3d46db
TEAM_SET_AUTO_ABILITY	0x3d46db
 repair the nearest building within the radius 	0x3d46db
Team_/Reepair/Repair nearest building that needs it.	0x3d46db
TEAM_REPAIR_NEREST	0x3d46db
Team_/Siege/Deploy near team.	0x3d46db
DEPLOY_SIEGE_NEAR_TEAM	0x3d46db
Team_/Siege/Deploy near waypoint.	0x3d46db
DEPLOY_SIEGE_ON_WAYPOINT	0x3d46db
 within the radius 	0x3d46db
 attempts to Deploy near 	0x3d46db
Unit_/Siege/Deploy near waypoint.	0x3d46db
DEPLOY_NAMED_SIEGE_ON_WAYPOINT	0x3d46db
 set special weapon upgrade to 	0x3d46db
Unit_/Set unit to switch to weapon set.	0x3d46db
NAMED_SET_SPECIAL_WEAPONSET	0x3d46db
Display Reinforcements banner.	0x3d46db
LivingWorld_/Display Reinforcements banner.	0x3d46db
REINFORCEMENTS_DISPLAY_BANNER	0x3d46db
 and store in counter 	0x3d46db
Count units owned by 	0x3d46db
Base/Counters/Count units inside a base.	0x3d46db
SET_COUNTER_TO_BASE_POPULATION	0x3d46db
Scripting_/Counters/Set counter to team threat.	0x3d46db
SET_COUNTER_TO_TEAM_THREAT	0x3d46db
 for player 	0x3d46db
 to equal the threat at 	0x3d46db
Scripting_/Counters/Set counter to threat at a threatfinder.	0x3d46db
SET_COUNTER_TO_THREAT_FINDER_THREAT	0x3d46db
 radius of 	0x3d46db
Scripting_/Counters/Set counter to single unit threat.	0x3d46db
SET_COUNTER_TO_UNIT_THREAT	0x3d46db
 sets its close range weapon to 	0x3d46db
Unit/Toggle close range weapon	0x3d46db
NAMED_TOGGLE_CLOSE_RANGE_WEAPON	0x3d46db
 sets their close range weapons to 	0x3d46db
Team/Toggle close range weapon	0x3d46db
TEAM_TOGGLE_CLOSE_RANGE_WEAPON	0x3d46db
 toggle auto build 	0x3d46db
Player/Build/Turn on or off a player's structures that auto build units.  (Starts ON)	0x3d46db
TOGGLE_AUTO_BUILD	0x3d46db
 is allowed to build ALL buildings is 	0x3d46db
Base/Allow or Disallow all buildings	0x3d46db
ALLOW_DISALLOW_ALL_BUILDINGS	0x3d46db
 allowed to build 	0x3d46db
Base/Allow or Disallow one building of a specific type	0x3d46db
ALLOW_DISALLOW_ONE_BUILDING	0x3d46db
 seconds: 	0x3d46db
Gradually interpolate all the scene lights to normal Time-Of-Day color, over:	0x3d46db
Scene/Light/Restore (un-dim) all global and ambient lights.	0x3d46db
RESTORE_WORLD_LIGHTS	0x3d46db
 over 	0x3d46db
. blue: 	0x3d46db
 green: 	0x3d46db
Gradually interpolate all the scene lights to the color, red:	0x3d46db
Scene/Light/Dim all global and ambient lights.	0x3d46db
DIM_WORLD_LIGHTS	0x3d46db
Remove all reverb-suppression areas.	0x3d46db
Audio_/All Sounds/Unsuppress all reverb	0x3d46db
AUDIO_REMOVE_ALL_REVERB_SUPPRESSION_POLYGONS	0x3d46db
 to normal.	0x3d46db
Return the reverb of sounds in 	0x3d46db
Audio_/All Sounds/Unsuppress reverb in an area	0x3d46db
AUDIO_REMOVE_REVERB_SUPPRESSION_POLYGON	0x3d46db
 of normal.	0x3d46db
Lower reverb of all sounds in 	0x3d46db
Audio_/All Sounds/Suppress reverb in an area	0x3d46db
AUDIO_SET_REVERB_SUPPRESSION_POLYGON	0x3d46db
Do not use reverb effects	0x3d46db
Audio_/All Sounds/Remove all reverb effects	0x3d46db
AUDIO_REMOVE_REVERB	0x3d46db
Use global reverb room type 	0x3d46db
Audio_/All Sounds/Set Global Reverb Room Type	0x3d46db
AUDIO_SET_REVERB_ROOM_TYPE	0x3d46db
Make all sounds subject to the fade levels set by 'fade all audio.'	0x3d46db
Audio_/Volume/Make All Sounds Subject to Fade	0x3d46db
AUDIO_MAKE_ALL_SOUNDS_SUBJECT_TO_FADE	0x3d46db
 subject to the fade levels set by 'fade all audio.'	0x3d46db
Audio_/Volume/Make Sound Subject to Fade	0x3d46db
AUDIO_MAKE_SOUND_SUBJECT_TO_FADE	0x3d46db
 ignore the fade levels set by 'fade all audio.'	0x3d46db
Make the sound 	0x3d46db
Audio_/Volume/Make Sound Immune to Fade	0x3d46db
AUDIO_MAKE_SOUND_IMMUNE_TO_FADE	0x3d46db
 seconds, and decrease 	0x3d46db
 seconds to increase, hold for 	0x3d46db
. Take 	0x3d46db
 to volume 	0x3d46db
Fade (0-1) all audio from volume 	0x3d46db
Audio_/Volume/Fade all audio	0x3d46db
AUDIO_FADE_VOLUME	0x3d46db
 as though coming from a member of 	0x3d46db
Play sound 	0x3d46db
Multimedia_/Play sound effect from team	0x3d46db
PLAY_SOUND_EFFECT_AT_TEAM	0x3d46db
 ON to the counter 	0x3d46db
 with 	0x3d46db
Store the number of objects owned by 	0x3d46db
Scripting_/Set counter to number of objects owned by player with a model condition	0x3d46db
SET_COUNTER_TO_NUMBER_OBJECTS_PLAYER_OWNES_WITH_MODELCONDITION	0x3d46db
Store the number of object (include dead ones)	0x3d46db
Scripting_/Set numer of object type owned by player to counter including dead ones.	0x3d46db
SET_PLAYER_OWNERSHIP_OF_TYPE_COUNTER_INCLUDE_DEAD	0x3d46db
Store the number of object 	0x3d46db
Scripting_/Set numer of object type owned by player to counter.	0x3d46db
SET_PLAYER_OWNERSHIP_OF_TYPE_COUNTER	0x3d46db
 of the kindof 	0x3d46db
Scripting_/Set number of player kills of a kindof to counter.	0x3d46db
SET_PLAYER_KILLS_OF_KINDOF_TO_COUNTER	0x3d46db
 of the type of object 	0x3d46db
Store the amount of kills by player 	0x3d46db
Scripting_/Set numer of player kills of a type to counter.	0x3d46db
SET_PLAYER_KILLS_OF_TYPE_TO_COUNTER	0x3d46db
Store the amount of command points required to build 	0x3d46db
Scripting_/CommandPoints/Set command points required to build team to counter.	0x3d46db
SET_COMMAND_POINTS_TO_BUILD_TEAM_TO_COUNTER	0x3d46db
Store total number of command point of player 	0x3d46db
Scripting_/CommandPoints/Set command points total of player to counter.	0x3d46db
SET_PLAYER_COMMAND_POINTS_TOTAL_TO_COUNTER	0x3d46db
Store amount of command points available to player 	0x3d46db
Scripting_/CommandPoints/Set command points available to player to counter.	0x3d46db
SET_PLAYER_COMMAND_POINTS_AVAILABLE_TO_COUNTER	0x3d46db
 to the counter 	0x3d46db
Store amount of command points used by player 	0x3d46db
Scripting_/CommandPoints/Set command points used by player to counter.	0x3d46db
SET_PLAYER_COMMAND_POINTS_USED_TO_COUNTER	0x3d46db
 experience points to the counter 	0x3d46db
Scripting_/Counters/Set units experience points to counter.	0x3d46db
SET_UNIT_EXPERIENCE_TO_COUNTER	0x3d46db
 light points to the counter 	0x3d46db
Store amount of 	0x3d46db
Scripting_/Counters/Set players light points to counter.	0x3d46db
SET_PLAYER_LIGHT_POINTS_TO_COUNTER	0x3d46db
 money to the counter 	0x3d46db
Store amount of  	0x3d46db
Scripting_/Counters/Set players money to counter.	0x3d46db
SET_PLAYER_MONEY_TO_COUNTER	0x3d46db
 the upgrade 	0x3d46db
Give Team 	0x3d46db
Team_/Give Team upgrade.	0x3d46db
TEAM_UPGRADE	0x3d46db
 combo units of type 	0x3d46db
Team_/Team recruit combo units from a specific team.	0x3d46db
RECRUIT_COMBO_UNITS_FROM_TEAM	0x3d46db
Team_/Team recruit units from a specific team.	0x3d46db
TEAM_RECRUIT_UNITS_FROM_TEAM	0x3d46db
 from nearby recruitable allied teams.	0x3d46db
 will recruit 	0x3d46db
Team_/Team recruit units from nearby teams.	0x3d46db
TEAM_RECRUIT_UNITS	0x3d46db
 with value 	0x3d46db
Scripting_/Counters/Counter do math opertation with value.	0x3d46db
COUNTER_MATH_VALUE	0x3d46db
 with counter 	0x3d46db
Scripting_/Counters/Counter do math opertation with another Counter.	0x3d46db
COUNTER_MATH_COUNTER	0x3d46db
Team/Team will move to the nearest object that matches both type and player specified.	0x3d46db
TEAM_MOVE_TO_NEAREST_OBJECT_OF_TYPE_OWNED_BY_PLAYER	0x3d46db
 will move to the nearest object of type 	0x3d46db
Team/Team will move to the nearest object that matches type specified.	0x3d46db
TEAM_MOVE_TO_NEAREST_OBJECT_OF_TYPE	0x3d46db
 that is owned by the player 	0x3d46db
Team/Team will move to the nearest object that matches both kindof and player specified.	0x3d46db
TEAM_MOVE_TO_NEAREST_OBJECT_OF_KINDOF_OWNED_BY_PLAYER	0x3d46db
 will move to the nearest object of kindof 	0x3d46db
Team 	0x3d46db
Team/Team will move to the nearest object that matches kindof specified.	0x3d46db
TEAM_MOVE_TO_NEAREST_OBJECT_OF_KINDOF	0x3d46db
 at a foundation	0x3d46db
Build building on the chosen foundation.	0x3d46db
BUILD_BUILDING_ON_FOUNDATION	0x3d46db
 ... then finally reference the new building as: 	0x3d46db
 which is part of the base named, 	0x3d46db
, relative to the object of type, 	0x3d46db
 at a foundation that is the most 	0x3d46db
Base/AI build base building on a foundation chosen by proximity to tactical marker (new).	0x3d46db
 and reference it as	0x3d46db
 at slot 	0x3d46db
Base/AI build base building in slot in a referenced base.	0x3d46db
BUILD_BASE_BUILDING_IN_SLOT	0x3d46db
 and reference it as 	0x3d46db
 in base 	0x3d46db
Build building 	0x3d46db
Player_/AI/AI build base building in first available slot in a referenced base.	0x3d46db
BUILD_BASE_BUILDING	0x3d46db
Instantly unpack the free base: 	0x3d46db
Base/Instant Unpack a base so team can start building structures on it (Free).	0x3d46db
NAMED_BASE_UNPACK_FREE	0x3d46db
and reference it as 	0x3d46db
Unpack the base: 	0x3d46db
Base/Unpack a base so team can start building structures on it.	0x3d46db
NAMED_BASE_UNPACK	0x3d46db
 upgrade 	0x3d46db
 will give 	0x3d46db
Team_/Upgrades/Team gives team upgrade.	0x3d46db
TEAM_GIVE_TEAM_UPGRADE	0x3d46db
 will give nearest team upgrade	0x3d46db
Team_/Upgrades/Team gives nearest team upgrade.	0x3d46db
TEAM_GIVE_NEAREST_TEAM_UPGRADE	0x3d46db
 to reference another team reference 	0x3d46db
Scripting_/Reference/ Set reference to another team reference.	0x3d46db
SET_TEAM_REFERENCE_TO_REFERNECE	0x3d46db
 to reference another unit reference 	0x3d46db
Scripting_/Reference/ Set reference to another unit reference.	0x3d46db
SET_UNIT_REFERENCE_TO_REFERENCE	0x3d46db
 to reference team 	0x3d46db
Scripting_/Reference/ Set reference to a team.	0x3d46db
SET_TEAM_REFERENCE	0x3d46db
 delay until it is ready again.	0x3d46db
Unit/gate/ Delay a sequential script until the gate is ready again	0x3d46db
GATE_READY	0x3d46db
 Close gate.	0x3d46db
Unit/gate/ close a gate	0x3d46db
GATE_CLOSE	0x3d46db
Open gate 	0x3d46db
Unit/gate/ open a gate	0x3d46db
GATE_OPEN	0x3d46db
 to reference it. (Building must be inside map boundaries: 	0x3d46db
 and set 	0x3d46db
Find the home base owned by 	0x3d46db
_Scripting/Reference/Find home base of player	0x3d46db
FIND_HOME_BASE_OF_PLAYER	0x3d46db
 (and owned by the teams Player) and set its reference to 	0x3d46db
nearest the team	0x3d46db
Find the unit matching a type in the list 	0x3d46db
Scripting/Reference/ Set a reference to the unit nearest-to-team, owned by player.	0x3d46db
TEAM_SET_PLAYERS_NEAREST_UNIT_OF_TYPE_TO_REFERENCE	0x3d46db
 to reference unit 	0x3d46db
Scripting_/Reference/ Set reference to a unit.	0x3d46db
SET_UNIT_REFERENCE	0x3d46db
Team_/ Team has (comparison) threat level within radius.	0x3d46db
TEAM_THREAT_LEVEL	0x3d46db
 within radius 	0x3d46db
 threat level 	0x3d46db
Unit_/ Unit has (comparison) threat level within radius.	0x3d46db
UNIT_THREAT_LEVEL	0x3d46db
 to retract it's siege ramp from the wall 	0x3d46db
Unit_/Siege/ Retract the siege tower from that wall it's attached to.	0x3d46db
RETRACT_SIEGE_FROM_WALL	0x3d46db
 to attach it's siege ramp to the wall 	0x3d46db
 Request 	0x3d46db
Unit_/Siege/ Deploy the siege tower to the named wall.	0x3d46db
DEPLOY_SIEGE_ON_NAMED_WALL	0x3d46db
 allow cancel 	0x3d46db
Play Movie named 	0x3d46db
PlayMovie/ Plays a movie in game.	0x3d46db
PLAY_MOVIE_IN_GAME	0x3d46db
Toggles on & off the AVI capture.	0x3d46db
AVICapture_/ Toggles on & off AVI capture	0x3d46db
TOGGLE_AVI_CAPTURE	0x3d46db
Exit back into the living world map region view.	0x3d46db
LivingWorld_/ Exit back into region view	0x3d46db
LIVING_WORLD_EXIT_TO_REGION_VIEW	0x3d46db
 from the living world.	0x3d46db
Despawn Army named 	0x3d46db
LivingWorld_/ Despawn an army from the Living World	0x3d46db
LIVING_WORLD_DESPAWN_ARMY	0x3d46db
Spawn Army named 	0x3d46db
LivingWorld_/ Spawn an army in a named zone	0x3d46db
LIVING_WORLD_SPAWN_ARMY_IN_ZONE	0x3d46db
 of TemplateType 	0x3d46db
Spawn Army named	0x3d46db
LivingWorld_/ Spawn an army at world position	0x3d46db
LIVING_WORLD_SPAWN_ARMY_AT_POSITION	0x3d46db
 zone.	0x3d46db
 To the 	0x3d46db
LivingWorld_/ Move army to a named zone	0x3d46db
LIVING_WORLD_MOVE_ARMY_TO_ZONE	0x3d46db
 in the world.	0x3d46db
 To the position 	0x3d46db
 of faction 	0x3d46db
Move Army named	0x3d46db
LivingWorld_/ Move army to a world position	0x3d46db
LIVING_WORLD_MOVE_ARMY_TO_POSITION	0x3d46db
Unit_/ Sets a unit's experience points	0x3d46db
UNIT_SET_EXPERIENCE_POINTS	0x3d46db
Unit_/ Gives a unit experience points	0x3d46db
UNIT_GIVE_EXPERIENCE_POINTS	0x3d46db
Unit_/ Gives specified team an experience level	0x3d46db
UNIT_GIVE_EXPERIENCE_LEVEL	0x3d46db
 experience points' to 	0x3d46db
Sets 	0x3d46db
Team_/ Sets a team's experience points	0x3d46db
TEAM_SET_EXPERIENCE_POINTS	0x3d46db
 experience points 	0x3d46db
Team_/ Gives specified team experience points	0x3d46db
TEAM_GIVE_EXPERIENCE_POINTS	0x3d46db
 experience level 	0x3d46db
Team_/ Gives specified team an experience level	0x3d46db
TEAM_GIVE_EXPERIENCE_LEVEL	0x3d46db
 light point level 	0x3d46db
Takes away from 	0x3d46db
Player_/ Takes away a light point level	0x3d46db
PLAYER_REMOVE_LIGHT_POINT_LEVEL	0x3d46db
  light point level 	0x3d46db
Player_/ Gives a light point level	0x3d46db
PLAYER_GIVE_LIGHT_POINT_LEVEL	0x3d46db
Resets light points for 	0x3d46db
Player_/ Reset light points	0x3d46db
PLAYER_RESET_LIGHT_POINTS	0x3d46db
 light points.	0x3d46db
Gives 	0x3d46db
Player_/ Give light points	0x3d46db
PLAYER_GIVE_LIGHT_POINTS	0x3d46db
 (True to disable.)	0x3d46db
Disable terrain render 	0x3d46db
Camera_/Terrain/Enable or Disable Terrain Render.	0x3d46db
TERRAIN_RENDER_DISABLE	0x3d46db
Set Bloom Filter to be disabled	0x3d46db
Camera_/Lighting Effects/End bloom lighting effect.	0x3d46db
CAMERA_BLOOM_EFFECT_END	0x3d46db
Set Bloom Filter to be enabled	0x3d46db
Camera_/Lighting Effects/Begin bloom lighting effect.	0x3d46db
CAMERA_BLOOM_EFFECT_BEGIN	0x3d46db
Multimedia_/Sound Effect/Disable object's ambient sound	0x3d46db
DISABLE_OBJECT_SOUND	0x3d46db
's ambient sound.	0x3d46db
Enable (or trigger) 	0x3d46db
Multimedia_/Sound Effect/Enable object's ambient sound	0x3d46db
ENABLE_OBJECT_SOUND	0x3d46db
Force ChooseVictim to ignore game difficulty and always use Normal setting 	0x3d46db
Map_/ Force ChooseVictim to ignore game difficulty and always use Normal setting.	0x3d46db
CHOOSE_VICTIM_ALWAYS_USES_NORMAL	0x3d46db
Delete all unmanned (sniped) vehicles.	0x3d46db
Scripting_/ Delete all unmanned (sniped) vehicles.	0x3d46db
DELETE_ALL_UNMANNED	0x3d46db
) Width then height, in world units.	0x3d46db
Allow bigger objects to be perceived as onscreen near the edge (	0x3d46db
Map_/ Resize view guardband.	0x3d46db
RESIZE_VIEW_GUARDBAND	0x3d46db
Show 'Defeated' window and end game	0x3d46db
Multiplayer_/ Announce defeat.	0x3d46db
Show 'Victorious' window and end game	0x3d46db
Multiplayer_/ Announce victory.	0x3d46db
Show 'Game Over' window	0x3d46db
Multiplayer_/ Announce local defeat.	0x3d46db
LOCALDEFEAT	0x3d46db
 Enter and guard from tunnel network.	0x3d46db
Team_/ Set to guard - from inside tunnel network.	0x3d46db
TEAM_GUARD_IN_TUNNEL_NETWORK	0x3d46db
 (true to enable, false to disable).	0x3d46db
Enable Object Bonuses based on difficulty 	0x3d46db
Map_/ Adjust Object Bonuses based on difficulty.	0x3d46db
OBJECT_ALLOW_BONUSES	0x3d46db
Set the desired speech volume to 	0x3d46db
Multimedia_/ Set the current speech volume.	0x3d46db
SPEECH_SET_VOLUME	0x3d46db
Set the desired sound volume to 	0x3d46db
Multimedia_/ Set the current sound volume.	0x3d46db
SOUND_SET_VOLUME	0x3d46db
 times the usual rate (0.0 for no gain, 1.0 for normal rate)	0x3d46db
 gains experience at 	0x3d46db
Player_/ Change the modifier to generals experience that a player receives.	0x3d46db
PLAYER_AFFECT_RECEIVING_EXPERIENCE	0x3d46db
 on team 	0x3d46db
Unit_/ Spawn -- named unit on a team at a position with an orientation.	0x3d46db
UNIT_SPAWN_NAMED_LOCATION_ORIENTATION	0x3d46db
 (1-12).	0x3d46db
 in slot number 	0x3d46db
 is added to all objects of type 	0x3d46db
Scripting_/ Add a command button to an object type.	0x3d46db
COMMANDBAR_ADD_BUTTON_OBJECTTYPE_SLOT	0x3d46db
 is removed from all objects of type 	0x3d46db
Scripting_/ Remove a command button from an object type.	0x3d46db
COMMANDBAR_REMOVE_BUTTON_OBJECTTYPE	0x3d46db
Team_/ Set team to face a waypoint.	0x3d46db
TEAM_FACE_WAYPOINT	0x3d46db
Team_/ Set team to face another unit.	0x3d46db
TEAM_FACE_NAMED	0x3d46db
Unit_/ Set unit to face a waypoint.	0x3d46db
NAMED_FACE_WAYPOINT	0x3d46db
 begin facing 	0x3d46db
Unit_/ Set unit to face another unit.	0x3d46db
NAMED_FACE_NAMED	0x3d46db
 seconds. Negative value reverts to normal behavior.	0x3d46db
Override hulk lifetime to 	0x3d46db
Scripting_/ Hulk set override lifetime.	0x3d46db
SCRIPTING_OVERRIDE_HULK_LIFETIME	0x3d46db
 (1-5).	0x3d46db
 uses skillset number 	0x3d46db
Player_/ Set the skillset for a computer player.	0x3d46db
PLAYER_SELECT_SKILLSET	0x3d46db
 change the value of flag 	0x3d46db
Team_/ Affect flags set on object panel - all.	0x3d46db
TEAM_AFFECT_OBJECT_PANEL_FLAGS	0x3d46db
 changes the value of flag 	0x3d46db
Unit_/ Affect flags set on object panel.	0x3d46db
UNIT_AFFECT_OBJECT_PANEL_FLAGS	0x3d46db
Set Particle Cap to be enabled 	0x3d46db
Scripting_/ Enable or Disable Particle Cap.	0x3d46db
OPTIONS_SET_PARTICLE_CAP_MODE	0x3d46db
Set Draw-icon UI to be enabled 	0x3d46db
Scripting_/ Enable or Disable Draw-icon UI.	0x3d46db
OPTIONS_SET_DRAWICON_UI_MODE	0x3d46db
Set Occlusion to be enabled 	0x3d46db
Scripting_/ Enable or Disable Occlusion (Drawing Behind Buildings).	0x3d46db
OPTIONS_SET_OCCLUSION_MODE	0x3d46db
 (False to disable.)	0x3d46db
Set EVA to be enabled 	0x3d46db
Scripting_/ Enable or Disable EVA.	0x3d46db
EVA_SET_ENABLED_DISABLED	0x3d46db
MAP_UNDO_REVEAL_PERMANENTLY_IN_TRIGGER	0x3d46db
 is undone.	0x3d46db
Map_/ Reveal map at waypoint -- undo permanently.	0x3d46db
MAP_UNDO_REVEAL_PERMANENTLY_AT_WAYPOINT	0x3d46db
The map is permanently revealed in trigger 	0x3d46db
Map_/ Reveal map in polygon trigger -- permanently.	0x3d46db
MAP_REVEAL_PERMANENTLY_IN_TRIGGER	0x3d46db
. (Afterwards referred to as 	0x3d46db
The map is permanently revealed at 	0x3d46db
Map_/ Reveal map at waypoint -- permanently.	0x3d46db
MAP_REVEAL_PERMANENTLY_AT_WAYPOINT	0x3d46db
 : remove 	0x3d46db
Scripting_/ Object Type List -- Remove Object Type.	0x3d46db
OBJECTLIST_REMOVEOBJECTTYPE	0x3d46db
 : add 	0x3d46db
Scripting_/ Object Type List -- Add Object Type.	0x3d46db
OBJECTLIST_ADDOBJECTTYPE	0x3d46db
Unit_/ Set emoticon for duration (-1.0 permanent, otherwise duration in sec).	0x3d46db
NAMED_SET_EMOTICON	0x3d46db
 emoticon for 	0x3d46db
Team_/ Set emoticon for duration (-1.0 permanent, otherwise duration in sec).	0x3d46db
TEAM_SET_EMOTICON	0x3d46db
 delay until at least one of them is no longer contained.	0x3d46db
Team_/ Delay a sequential script until the team is no longer contained - partial	0x3d46db
TEAM_WAIT_FOR_NOT_CONTAINED_PARTIAL	0x3d46db
 all delay until they are no longer contained.	0x3d46db
Team_/ Delay a sequential script until the team is no longer contained - all	0x3d46db
TEAM_WAIT_FOR_NOT_CONTAINED_ALL	0x3d46db
 from units it has captured. (There's nothing quite like being assaulted by your own captured units!)	0x3d46db
 creates a new 	0x3d46db
Player_/ Create team from all captured units.	0x3d46db
PLAYER_CREATE_TEAM_FROM_CAPTURED_UNITS	0x3d46db
 capture the nearest unowned faction unit.	0x3d46db
Team_/ Capture unowned faction unit -- nearest.	0x3d46db
TEAM_CAPTURE_NEAREST_UNOWNED_FACTION_UNIT	0x3d46db
 perform 	0x3d46db
% of 	0x3d46db
Team_/ Use command ability -- partial -- self.	0x3d46db
TEAM_PARTIAL_USE_COMMANDBUTTON	0x3d46db
Team_/ Use command ability -- all -- nearest object type.	0x3d46db
TEAM_ALL_USE_COMMANDBUTTON_ON_NEAREST_OBJECTTYPE	0x3d46db
Team_/ Use command ability -- all -- nearest enemy building kindof.	0x3d46db
TEAM_ALL_USE_COMMANDBUTTON_ON_NEAREST_ENEMY_BUILDING_CLASS	0x3d46db
Team_/ Use command ability -- all -- nearest enemy building.	0x3d46db
TEAM_ALL_USE_COMMANDBUTTON_ON_NEAREST_ENEMY_BUILDING	0x3d46db
Team_/ Use command ability -- all -- nearest enemy object with kind of.	0x3d46db
TEAM_ALL_USE_COMMANDBUTTON_ON_NEAREST_KINDOF	0x3d46db
