name,export_rva,target_rva,target_size,source,status,notes
??$__get_short_or_long_monthname@V?$istreambuf_iterator@DV?$char_traits@D@_STL@@@_STL@@@_STL@@YA_NAAV?$istreambuf_iterator@DV?$char_traits@D@_STL@@@0@0ABV_Time_Info@0@PAUtm@@@Z,,0x00018EA0,95,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_time_get_names.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; found by locate
??$__get_short_or_long_dayname@V?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@YA_NAAV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@0@0ABV_Time_Info@0@PAUtm@@@Z,,0x00018F20,83,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_time_get_names.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; found by locate
??$__get_short_or_long_monthname@V?$istreambuf_iterator@GV?$char_traits@G@_STL@@@_STL@@@_STL@@YA_NAAV?$istreambuf_iterator@GV?$char_traits@G@_STL@@@0@0ABV_Time_Info@0@PAUtm@@@Z,,0x00018F80,95,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_time_get_names.cpp,matched,Open-BFME5 clean C++; stlport 4.5.3; found by locate
??0GdiplusStartupInput@Gdiplus@@QAE@P6GXHPAD@ZHH@Z,,0x0000115D,32,Code/Libraries/Source/ATL/atlimage.cpp,matched,Open-BFME5 clean C++; found by locate
??0Rect@Gdiplus@@QAE@HHHH@Z,,0x005DBCF0,32,Code/Libraries/Source/ATL/atlimage.cpp,matched,Open-BFME5 clean C++; found by locate
??_GLZHLDecompressor@@QAEPAXI@Z,,0x0068ED30,30,Code/Libraries/Source/Compression/LZHCompress/NoxCompress.cpp,matched,Open-BFME5 clean C++; found by locate
??_G?$ConcreteModuleTemplate@V?$ModuleTag@$01$E?RENDEROBJECT_UPDATE_MODULE_KEY@FXParticleSystem@@3QBDB$E?RENDEROBJECT_UPDATE_MODULE_NAME@2@3QBDBVRenderObjectUpdateModule@2@VRenderObjectUpdateModuleTemplate@2@VRenderObjectParticleUpdateModule@2@@FXParticleSystem@@@FXParticleSystem@@UAEPAXI@Z,,0x003AA1EA,28,Code/GameEngine/Source/GameClient/FXParticleSystemFactories.cpp,matched,Open-BFME5 clean C++; found by locate
??_G?$ConcreteModuleTemplate@V?$ModuleTag@$05$E?RENDEROBJECT_DRAW_MODULE_KEY@FXParticleSystem@@3QBDB$E?RENDEROBJECT_DRAW_MODULE_NAME@2@3QBDBVRenderObjectDrawModule@2@VRenderObjectDrawModuleTemplate@2@V?$DefaultParticleModule@$05@2@@FXParticleSystem@@@FXParticleSystem@@UAEPAXI@Z,,0x003AA6E8,28,Code/GameEngine/Source/GameClient/FXParticleSystemFactories.cpp,matched,Open-BFME5 clean C++; found by locate
??_G?$ConcreteModuleTemplate@V?$ModuleTag@$05$E?GPU_DRAW_MODULE_KEY@FXParticleSystem@@3QBDB$E?GPU_DRAW_MODULE_NAME@2@3QBDBVGpuDrawModule@2@VGpuDrawModuleTemplate@2@V?$DefaultParticleModule@$05@2@@FXParticleSystem@@@FXParticleSystem@@UAEPAXI@Z,,0x003AA79A,28,Code/GameEngine/Source/GameClient/FXParticleSystemFactories.cpp,matched,Open-BFME5 clean C++; found by locate
?createTemplate@?$ConcreteModuleClass@V?$ModuleTag@$01$E?RENDEROBJECT_UPDATE_MODULE_KEY@FXParticleSystem@@3QBDB$E?RENDEROBJECT_UPDATE_MODULE_NAME@2@3QBDBVRenderObjectUpdateModule@2@VRenderObjectUpdateModuleTemplate@2@V?$DefaultParticleModule@$01@2@@FXParticleSystem@@@FXParticleSystem@@UBEPAVRenderObjectUpdateModuleTemplate@2@XZ,,0x003AAFF3,10,Code/GameEngine/Source/GameClient/FXParticleSystemFactories.cpp,matched,Open-BFME5 clean C++; found by locate
