ordinal,rva,target_rva,section,kind,name
52,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$00@FXParticleSystem@@QAE@ABV01@@Z
53,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$00@FXParticleSystem@@QAE@XZ
54,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$01@FXParticleSystem@@QAE@ABV01@@Z
55,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$01@FXParticleSystem@@QAE@XZ
56,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$02@FXParticleSystem@@QAE@ABV01@@Z
57,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$02@FXParticleSystem@@QAE@XZ
58,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$03@FXParticleSystem@@QAE@ABV01@@Z
59,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$03@FXParticleSystem@@QAE@XZ
60,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$04@FXParticleSystem@@QAE@ABV01@@Z
61,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$04@FXParticleSystem@@QAE@XZ
62,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$05@FXParticleSystem@@QAE@ABV01@@Z
63,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$05@FXParticleSystem@@QAE@XZ
64,0x001F44E4,,.text,code,??0?$CategoryModuleTemplate@$06@FXParticleSystem@@QAE@ABV01@@Z
65,0x001F448D,,.text,code,??0?$CategoryModuleTemplate@$06@FXParticleSystem@@QAE@XZ
66,0x00001F30,,.text,code,??0?$CategoryModuleTemplate@$07@FXParticleSystem@@QAE@ABV01@@Z
67,0x00001EF9,,.text,code,??0?$CategoryModuleTemplate@$07@FXParticleSystem@@QAE@XZ
68,0x0004CB7B,,.text,code,??0?$CategoryModuleTemplate@$0A@@FXParticleSystem@@QAE@ABV01@@Z
69,0x00001D69,,.text,code,??0?$CategoryModuleTemplate@$0A@@FXParticleSystem@@QAE@XZ
70,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$00@FXParticleSystem@@QAE@ABV01@@Z
71,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$00@FXParticleSystem@@QAE@XZ
72,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$01@FXParticleSystem@@QAE@ABV01@@Z
73,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$01@FXParticleSystem@@QAE@XZ
74,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$02@FXParticleSystem@@QAE@ABV01@@Z
75,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$02@FXParticleSystem@@QAE@XZ
76,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$03@FXParticleSystem@@QAE@ABV01@@Z
77,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$03@FXParticleSystem@@QAE@XZ
78,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$04@FXParticleSystem@@QAE@ABV01@@Z
79,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$04@FXParticleSystem@@QAE@XZ
80,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$05@FXParticleSystem@@QAE@ABV01@@Z
81,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$05@FXParticleSystem@@QAE@XZ
82,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$06@FXParticleSystem@@QAE@ABV01@@Z
83,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$06@FXParticleSystem@@QAE@XZ
84,0x001F421B,,.text,code,??0?$CategoryModuleTemplateBase@$07@FXParticleSystem@@QAE@ABV01@@Z
85,0x00001D69,,.text,code,??0?$CategoryModuleTemplateBase@$07@FXParticleSystem@@QAE@XZ
