vtable_rva	label	slot	func_rva	func_name
0x81CC54	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x560AE1	FUN_00960ae1
0x81CC54	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	5	0x55FD6B	FUN_0095fd6b
0x81CC54	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	6	0x560ABA	FUN_00960aba
0x81CC54	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	7	0x4BD9CB	FUN_008bd9cb
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x3ACDF9	getClass
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x3AD257	FUN_007ad257
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0xB3FD0	~Coord2D
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x3AE538	FUN_007ae538
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x560AE1	FUN_00960ae1
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	5	0x5601D9	FUN_009601d9
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	6	0x560ABA	FUN_00960aba
0x81CC94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	7	0x4BD9CB	FUN_008bd9cb
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x3ACE28	getClass
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x3AD257	FUN_007ad257
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0xB3FD0	~Coord2D
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x3AE5C2	FUN_007ae5c2
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x560AE1	FUN_00960ae1
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	5	0x560B11	FUN_00960b11
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	6	0x560ABA	FUN_00960aba
0x81CCD4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	7	0x4BD9CB	FUN_008bd9cb
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	0	0x3ACE86	getClass
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	1	0x3AD257	FUN_007ad257
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	2	0xB3FD0	~Coord2D
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	3	0x3AE758	FUN_007ae758
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	4	0x561527	FUN_00961527
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	5	0x561564	FUN_00961564
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	6	0x560ABA	FUN_00960aba
0x81CD50	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<6>'}	7	0x4BD9CB	FUN_008bd9cb
0x81CE1C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	0	0x3AD000	getClass
0x81CE1C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	1	0x3AE270	FUN_007ae270
0x81CE1C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	2	0x55F000	FUN_0095f000
